live,activity,main_track,not_main_track,time_bin
No,Walking,1.0,1.0,2020-04-08 18:20:00
No,Walking,2.0,0.0,2020-04-04 15:50:00
No,Running,1.0,0.0,2020-04-07 18:20:00
No,Walking,2.0,1.0,2020-04-07 17:50:00
No,Walking,1.0,0.0,2020-04-05 16:50:00
No,Work,0.0,0.0,2020-04-09 06:50:00
No,Walking,0.0,0.0,2020-04-09 11:50:00
No,Running,0.0,0.0,2020-04-09 06:50:00
No,Walking,2.0,0.0,2020-04-06 12:50:00
No,Running,0.0,0.0,2020-04-05 19:50:00
No,Running,2.0,0.0,2020-04-07 08:50:00
No,Walking,2.0,0.0,2020-04-08 19:20:00
No,Walking,2.0,0.0,2020-04-07 09:20:00
No,Walking,1.0,1.0,2020-03-29 10:50:00
No,Walking,1.0,1.0,2020-04-07 08:20:00
No,Walking,1.0,0.0,2020-04-06 17:50:00
No,Running,1.0,0.0,2020-04-06 13:20:00
No,Scooter with a kid,2.0,0.0,2020-04-08 14:50:00
No,Cycling,1.0,0.0,2020-04-09 18:20:00
No,Walking,2.0,0.0,2020-04-08 18:50:00
No,Running,1.0,0.0,2020-04-05 14:50:00
No,Walking,1.0,1.0,2020-04-11 16:20:00
